"Name","Releaseyear","Market","Processor","Codename","DeviceID","Clockrate","Clockrate","APIsupport","APIsupport","APIsupport","Coreconfig","APIsupport","eDRAM(MB)","Memorybandwidth(GB/s)"
"HDGraphics610","2017","Mobile","Pentium4415U","KabyLake(Gen9p5)","5906","300","950","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","34.1"
"HDGraphics610","2017","Desktop","CeleronG3930TE","KabyLake(Gen9p5)","5902","350","950","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","34.1"
"Desktop","HDGraphics610","5902","350","2017","CeleronG3930ECeleronG3930T","1000","KabyLake(Gen9p5)","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","34.1"
"Desktop","HDGraphics610","5902","350","2017","CeleronG3930CeleronG3950","1050","KabyLake(Gen9p5)","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","34.1"
"Desktop","1050","HDGraphics610","5902","350","2017","PentiumG4560TPentiumG4560","38.4","KabyLake(Gen9p5)","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"Desktop","38.4","HDGraphics610","5902","350","2017","Corei3-7101TECorei3-7101E","1100","KabyLake(Gen9p5)","96:12:2(GT1)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics615","2017","Mobile","Celeron3965YPentium4410YPentium4415Y","KabyLake(Gen9p5)","591E","300","850","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-","29.8"
"HDGraphics615","Mobile","PentiumGold6500YCorem3-7Y30Corem3-7Y32Corem3-8100Y","591E","300","2017","192:24:3(GT2)","29.8","900","KabyLake(Gen9p5)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics615","Mobile","Corei5-7Y54Corei5-7Y57Corem3-8300Y","591E","300","2017","192:24:3(GT2)","29.8","950","KabyLake(Gen9p5)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics615","Mobile","Corei7-7Y75Corem3-8500Y","591E","300","2017","192:24:3(GT2)","29.8","1050","KabyLake(Gen9p5)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics620","Mobile","2017","Corei3-7020UCorei3-7100UCorei3-7130UCorei5-7200U","300","5916","192:24:3(GT2)","KabyLake(Gen9p5)","1000","34.1","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics620","Corei7-7500U","5916","Mobile","34.1","2017","1050","300","KabyLake(Gen9p5)","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics620","Corei5-7300U","5916","Mobile","34.1","2017","1100","300","KabyLake(Gen9p5)","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"HDGraphics620","Corei7-7600U","5916","Mobile","34.1","2017","1150","300","KabyLake(Gen9p5)","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"UHDGraphics620","Mobile","2017","Corei3-8130U","300","5917","192:24:3(GT2)","KabyLake(Gen9p5)","1000","38.4","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
"UHDGraphics620","Corei5-8250UCorei5-8350U","5917","Mobile","38.4","2017","1100","300","KabyLake(Gen9p5)","192:24:3(GT2)","12FL12_1","4.64.14.6ES3.2","3.01.23.0","1.21.2","-"
