"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"DOM1","bgColor","4.0","Yes","1.0","1.0","?","?"
"DOM1","ch","6.0","No","1.0","?","?","2.0"
"DOM1","6.0","No","chOff","?","2.0","?","1.0"
"DOM1","colSpan","4.0","Yes","1.0","?","?","1.0"
"DOM1","headers","Yes","6.0","?","1.0","1.0","?"
"DOM1","height","Yes","4.0","?","1.0","1.0","?"
"DOM1","4.0","noWrap","Yes","?","?","1.0","1.0"
"DOM1","4.0","rowSpan","Yes","?","?","1.0","1.0"
"DOM1","scope","?","?","1.0","1.0","?","?"
"DOM1","vAlign","4.0","Yes","1.0","1.0","?","?"
"DOM1","4.0","Yes","width","?","?","1.0","1.0"
"InterfaceHTMLFrameSetElement","InterfaceHTMLFrameSetElement","InterfaceHTMLFrameSetElement","InterfaceHTMLFrameSetElement","InterfaceHTMLFrameSetElement","InterfaceHTMLFrameSetElement","InterfaceHTMLFrameSetElement","InterfaceHTMLFrameSetElement"
"DOM1","cols","4.0","Yes","1.0","?","?","1.0"
"DOM1","rows","4.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLFrameElement","InterfaceHTMLFrameElement","InterfaceHTMLFrameElement","InterfaceHTMLFrameElement","InterfaceHTMLFrameElement","InterfaceHTMLFrameElement","InterfaceHTMLFrameElement","InterfaceHTMLFrameElement"
"DOM1","frameBorder","4.0","Yes","1.0","?","?","1.0"
"DOM1","longDesc","8.0","Yes","1.0","?","?","1.0"
"DOM1","marginHeight","6.0","Yes","1.0","?","?","1.0"
"DOM1","6.0","marginWidth","?","Yes","1.0","?","1.0"
"DOM1","name","4.0","Yes","1.0","?","?","1.0"
"DOM1","4.0","noResize","?","Yes","1.0","?","1.0"
"DOM1","4.0","scrolling","?","Yes","1.0","?","1.0"
"DOM1","src","8.0","Yes","1.0","?","?","1.0"
"DOM2","contentDocument","No","Yes","1.0","?","?","1.0"
"InterfaceHTMLIFrameSetElement","InterfaceHTMLIFrameSetElement","InterfaceHTMLIFrameSetElement","InterfaceHTMLIFrameSetElement","InterfaceHTMLIFrameSetElement","InterfaceHTMLIFrameSetElement","InterfaceHTMLIFrameSetElement","InterfaceHTMLIFrameSetElement"
"DOM1","align","4.0","Yes","1.0","?","?","1.0"
"DOM1","frameBorder","?","?","1.0","?","?","1.0"
"DOM1","height","4.0","Yes","1.0","?","?","1.0"
"DOM1","longDesc","Yes","8.0","?","1.0","?","1.0"
"DOM1","marginHeight","Yes","4.0","?","1.0","?","1.0"
"DOM1","4.0","marginWidth","Yes","?","?","1.0","1.0"
"DOM1","4.0","name","Yes","?","?","1.0","1.0"
"DOM1","4.0","scrolling","Yes","?","?","1.0","1.0"
"DOM1","src","Yes","8.0","?","1.0","?","1.0"
"DOM1","width","Yes","4.0","?","1.0","?","1.0"
"DOM2","contentDocument","Yes","No","?","1.0","?","1.0"
